x,y,z,u,v,w,phi,theta,psi,p,q,r
0.10144674915968044,0.08236300446351619,0.5,-0.05049089129510143,0.03984440767649426,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08044585851425161,0.09384940292096398,0.5,-0.05107433572793514,0.02070981260821619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.056127793344115474,0.09981913499557656,0.5,-0.0384516129041598,0.010748710689092611,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03112779334411548,0.09775465135876824,0.5,-0.024411102955008892,-0.01522945278076481,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01630030351264321,0.08082261206812472,0.5,0.001992567683935926,-0.047167062859243075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.013252112445148583,0.05616357948305665,0.5,0.007353183518329913,-0.047785255867586265,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.022313538941352292,0.034176735702894416,0.5,0.020686005667365122,-0.03853726336918288,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04250263683787179,0.02413435008657018,0.5,0.040146029509608785,-0.0208881945898887,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07163160411148842,0.03027148726509016,0.5,0.18687424414906767,0.1294883618782749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10654386517560915,0.05,0.5,0.34548152005509797,0.2528649047255022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14345613482439085,0.07500000000000001,0.5,0.3662192087544582,0.2504734081961503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17836839588851158,0.09472851273490987,0.5,0.3661706180798082,0.25027441966503083,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2074973631621282,0.10086564991342983,0.5,0.34718638643347544,0.2272502189277253,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22768646105864773,0.0908232642971056,0.5,0.19169809541657312,0.06801156039278411,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2367478875548514,0.06883642051694339,0.5,0.0061037044387644325,-0.0425619674442429,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23369969648735678,0.04417738793187532,0.5,-0.01999460009498979,-0.039552277906547834,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.21887220665588453,0.027245348641231782,0.5,-0.02548228437116884,-0.03515883839614824,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1938722066558845,0.025180865004423465,0.5,-0.03136769662548258,-0.025514756109607892,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16955414148574843,0.031150597079036023,0.5,-0.02943502743181752,0.0036333578364325693,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14855325084031956,0.04263699553648383,0.5,-0.02163848023361148,0.017075801314115957,0.0,0.0,0.0,0.0,0.0,0.0,0.0
